,rating,genre,year,score,votes,budget,gross,runtime,month,continent
192,PG,Adventure,1984,5.2,1200.0,12000000.0,129268.0,91.0,February,North_America
193,PG,Adventure,2018,5.6,30000.0,120000000.0,173961069.0,99.0,November,North_America
194,PG,Adventure,2002,5.5,36000.0,15000000.0,52970014.0,88.0,February,North_America
195,R,Comedy,2019,5.3,26000.0,20000000.0,72216294.0,117.0,February,North_America
196,PG_13,Action,2003,6.3,105000.0,60000000.0,117248958.0,119.0,December,North_America
197,PG_13,Comedy,1998,6.2,58000.0,17000000.0,30331165.0,82.0,October,North_America
198,R,Adventure,2007,7.2,186000.0,16000000.0,35310019.0,91.0,October,North_America
199,PG_13,Horror,2015,5.2,42000.0,3300000.0,38356892.0,83.0,February,North_America
200,R,Comedy,2012,6.4,286000.0,65000000.0,179379533.0,83.0,May,North_America
201,PG_13,Drama,2014,6.0,33000.0,45000000.0,86165646.0,112.0,August,North_America
202,PG,Horror,1986,5.6,8200.0,12000000.0,4884663.0,100.0,June,North_America
203,R,Crime,1998,4.7,2500.0,6000000.0,11710.0,95.0,January,North_America
204,PG_13,Adventure,2015,6.2,98000.0,12000000.0,85512300.0,109.0,July,North_America
205,PG_13,Action,2001,6.9,176000.0,65000000.0,117487473.0,132.0,May,North_America
206,R,Drama,2009,7.1,34000.0,6500000.0,1595417.0,113.0,December,North_America
207,PG_13,Comedy,1989,6.8,5300.0,18000000.0,4973285.0,90.0,August,North_America
208,R,Drama,2011,7.4,95000.0,5000000.0,3741098.0,120.0,November,North_America
209,PG,Adventure,1987,8.1,402000.0,16000000.0,30902642.0,98.0,October,Europe
210,PG,Comedy,2018,6.7,16000.0,3500000.0,16376066.0,108.0,January,North_America
211,PG,Adventure,1988,7.2,52000.0,46630000.0,8083123.0,126.0,March,Europe
212,PG,Adventure,1998,6.5,15000.0,23000000.0,26875268.0,91.0,April,North_America
213,R,Drama,2014,7.0,73000.0,22500000.0,38176317.0,111.0,December,Oceania
214,R,Drama,1993,5.8,17000.0,6000000.0,13609396.0,89.0,April,North_America
215,R,Action,2016,5.9,149000.0,60000000.0,205754447.0,99.0,March,North_America
216,R,Comedy,2008,6.8,223000.0,28000000.0,92649419.0,99.0,November,Europe
217,R,Action,1998,7.3,232000.0,90000000.0,250849789.0,132.0,November,North_America
218,PG_13,Action,2019,5.7,166000.0,200000000.0,252442974.0,113.0,June,North_America
219,R,Comedy,2009,6.4,73000.0,18000000.0,19651093.0,90.0,January,North_America
220,R,Comedy,2013,6.6,48000.0,10000000.0,7804337.0,89.0,March,North_America
221,R,Drama,1993,7.7,16000.0,11000000.0,32901136.0,139.0,October,North_America
